label|occluded|xtl|ytl|xbr|ybr|id|name|width|height|annotation_type
HandForward|0|204.00|54.00|953.00|396.00|0|data/frames/tremor2/000000.png|1280|720|box
HandForward|0|204.00|54.00|953.00|396.00|1|data/frames/tremor2/000001.png|1280|720|box
HandForward|0|204.00|54.00|953.00|396.00|2|data/frames/tremor2/000002.png|1280|720|box
HandForward|0|204.00|54.00|953.00|396.00|3|data/frames/tremor2/000003.png|1280|720|box
HandForward|0|204.00|54.00|953.00|396.00|4|data/frames/tremor2/000004.png|1280|720|box
HandForward|0|204.00|54.00|953.00|396.00|5|data/frames/tremor2/000005.png|1280|720|box
HandForward|0|204.00|54.00|953.00|396.00|6|data/frames/tremor2/000006.png|1280|720|box
HandForward|0|204.00|54.00|953.00|396.00|7|data/frames/tremor2/000007.png|1280|720|box
HandForward|0|204.00|54.00|953.00|396.00|8|data/frames/tremor2/000008.png|1280|720|box
HandForward|0|204.00|54.00|953.00|396.00|9|data/frames/tremor2/000009.png|1280|720|box
HandForward|0|204.00|54.00|953.00|396.00|10|data/frames/tremor2/000010.png|1280|720|box
HandForward|0|204.00|54.00|953.00|396.00|11|data/frames/tremor2/000011.png|1280|720|box
HandForward|0|204.00|54.00|953.00|396.00|12|data/frames/tremor2/000012.png|1280|720|box
HandForward|0|204.00|54.00|953.00|396.00|13|data/frames/tremor2/000013.png|1280|720|box
HandForward|0|204.00|54.00|953.00|396.00|14|data/frames/tremor2/000014.png|1280|720|box
HandForward|0|204.00|54.00|953.00|396.00|15|data/frames/tremor2/000015.png|1280|720|box
HandForward|0|204.00|54.00|953.00|396.00|16|data/frames/tremor2/000016.png|1280|720|box
HandForward|0|204.00|54.00|953.00|396.00|17|data/frames/tremor2/000017.png|1280|720|box
HandForward|0|204.00|54.00|953.00|396.00|18|data/frames/tremor2/000018.png|1280|720|box
HandForward|0|204.00|54.00|953.00|396.00|19|data/frames/tremor2/000019.png|1280|720|box
HandForward|0|204.00|54.00|953.00|396.00|20|data/frames/tremor2/000020.png|1280|720|box
HandForward|0|204.00|54.00|953.00|396.00|21|data/frames/tremor2/000021.png|1280|720|box
HandForward|0|204.00|54.00|953.00|396.00|22|data/frames/tremor2/000022.png|1280|720|box
HandForward|0|204.00|54.00|953.00|396.00|23|data/frames/tremor2/000023.png|1280|720|box
HandForward|0|204.00|54.00|953.00|396.00|24|data/frames/tremor2/000024.png|1280|720|box
HandForward|0|204.00|54.00|953.00|396.00|25|data/frames/tremor2/000025.png|1280|720|box
HandForward|0|204.00|54.00|953.00|396.00|26|data/frames/tremor2/000026.png|1280|720|box
HandForward|0|204.00|54.00|953.00|396.00|27|data/frames/tremor2/000027.png|1280|720|box
HandForward|0|204.00|54.00|953.00|396.00|28|data/frames/tremor2/000028.png|1280|720|box
