label|occluded|xtl|ytl|xbr|ybr|id|name|width|height|annotation_type
HandForward|0|204.00|54.00|953.00|396.00|0|data/frames/tremor1/000000.png|1280|720|box
HandForward|0|204.00|54.00|953.00|396.00|1|data/frames/tremor1/000001.png|1280|720|box
HandForward|0|204.00|54.00|953.00|396.00|2|data/frames/tremor1/000002.png|1280|720|box
HandForward|0|204.00|54.00|953.00|396.00|3|data/frames/tremor1/000003.png|1280|720|box
HandForward|0|204.00|54.00|953.00|396.00|4|data/frames/tremor1/000004.png|1280|720|box
HandForward|0|204.00|54.00|953.00|396.00|5|data/frames/tremor1/000005.png|1280|720|box
HandForward|0|204.00|54.00|953.00|396.00|6|data/frames/tremor1/000006.png|1280|720|box
HandForward|0|204.00|54.00|953.00|396.00|7|data/frames/tremor1/000007.png|1280|720|box
HandForward|0|204.00|54.00|953.00|396.00|8|data/frames/tremor1/000008.png|1280|720|box
HandForward|0|204.00|54.00|953.00|396.00|9|data/frames/tremor1/000009.png|1280|720|box
HandForward|0|204.00|54.00|953.00|396.00|10|data/frames/tremor1/000010.png|1280|720|box
HandForward|0|204.00|54.00|953.00|396.00|11|data/frames/tremor1/000011.png|1280|720|box
HandForward|0|204.00|54.00|953.00|396.00|12|data/frames/tremor1/000012.png|1280|720|box
HandForward|0|204.00|54.00|953.00|396.00|13|data/frames/tremor1/000013.png|1280|720|box
HandForward|0|204.00|54.00|953.00|396.00|14|data/frames/tremor1/000014.png|1280|720|box
HandForward|0|204.00|54.00|953.00|396.00|15|data/frames/tremor1/000015.png|1280|720|box
HandForward|0|204.00|54.00|953.00|396.00|16|data/frames/tremor1/000016.png|1280|720|box
HandForward|0|204.00|54.00|953.00|396.00|17|data/frames/tremor1/000017.png|1280|720|box
HandForward|0|204.00|54.00|953.00|396.00|18|data/frames/tremor1/000018.png|1280|720|box
HandForward|0|204.00|54.00|953.00|396.00|19|data/frames/tremor1/000019.png|1280|720|box
HandForward|0|204.00|54.00|953.00|396.00|20|data/frames/tremor1/000020.png|1280|720|box
